id,orgao,ano,cargo,motivo,enunciado,qid
VALEGRE-2024-MAT-11,Prefeitura de Vista Alegre do Alto,2024,Agente Escolar,Duplicata + gabarito errado,"Na primeira semana de trabalho em uma campanha, Rute visitou a quarta parte dos domicílios",6f233342-1178-41b4-8172-48316798caec
VALEGRE-2024-MAT-12,Prefeitura de Vista Alegre do Alto,2024,Agente Escolar,Duplicata + gabarito errado,"O desconto de R$ 68,00 obtido na compra de um produto equivale a 17% do preço original. Qu",22ebc940-1989-4c5b-aa9f-394a62893bfa
VALEGRE-2024-MAT-13,Prefeitura de Vista Alegre do Alto,2024,Agente Escolar,Duplicata + gabarito errado,"Em um mutirão para limpar um terreno, 5 homens capinaram durante 3 horas e limparam 480 m²",9aa34232-c429-46aa-ae45-ce5e3de1640c
VALEGRE-2024-MAT-15,Prefeitura de Vista Alegre do Alto,2024,Agente Escolar,Duplicata + gabarito errado,"Um suplemento alimentar infantil é fornecido em embalagens de 125 mL. Para obter 3,9 litro",ae8f92f6-ad91-427c-aa0a-a655aa26b379
TJSP-2006-MAT-40,Tribunal de Justiça do Estado de São Paulo,2006,Escrevente Técnico Judiciário,Geometria com figura,"Na figura há um quadrado de lado desconhecido, subdividido em quatro retângulos identifica",52972739-60f7-4e5e-bbea-363afa641f63
TJSP-2007-MAT-38,Tribunal de Justiça do Estado de São Paulo,2007,Escrevente Técnico Judiciário,Geometria com figura,"O terreno retangular ABCD tem 200 metros de perímetro. A área retangular AEFG, que aparece",8b96ba2c-ed71-4381-b86b-16933a10f22f
TJSP-2009-MAT-71,Tribunal de Justiça do Estado de São Paulo,2009,Oficial de Justiça,Geometria com figura,"Uma folha retangular, de lados iguais a x+1 e x–2 e com 54 cm² de área, foi dividida em tr",a58fbc24-153a-4c77-829b-ccb246afa271
TJSP-2010-MAT-32,Tribunal de Justiça do Estado de São Paulo,2010,Agente Fiscal Judiciário,Geometria com figura,A figura sem escala mostra a planta de um calçadão no centro de uma pequena cidade. Um ped,81d04efd-9efb-4d17-8f9a-36d8adbefac1
TJSP-2010-MAT-34,Tribunal de Justiça do Estado de São Paulo,2010,Agente Fiscal Judiciário,Geometria com figura,Um terreno retangular com área de 192 m² tem um dos lados medindo 4 m a mais que o outro. ,b862c34a-bc07-49f6-bba8-f9c6f3ef0d76
CMPIRA-2019-MAT-19,Câmara Municipal de Piracicaba,2019,Agente Administrativo,Dado/figura ausente no texto,Um centro de reciclagem de produtos eletrônicos está procurando um local para armazenament,68ebcf1b-bd79-4d0b-bec7-b6c6ca738889
CMPIRA-2019-MAT-24,Câmara Municipal de Piracicaba,2019,Agente Administrativo,Dado/figura ausente no texto,Uma empresa utiliza bicicletas para entregar pequenos pacotes em locais próximos à sua sed,d40f0370-1dc5-4795-99ce-89780ba53c5e
CMPIRA-2019-MAT-27,Câmara Municipal de Piracicaba,2019,Agente Administrativo,Dado/figura ausente no texto,Um profissional foi contratado para assentar piso em um estabelecimento. Ficou acordado qu,568775be-d38a-4d11-9c6c-b4cb5510a0c7
PINDA-2023-MAT-20,Prefeitura de Pindamonhangaba,2023,Professor de Educação Básica (Ensino Infantil/Fundamental),Dado/figura ausente no texto,"Uma cartolina de 60 cm x 50 cm será usada para recortar barquinhos iguais, em que a base d",68540515-7420-4102-b372-75eaa74a8324
SJRP-2025-MAT-24,Prefeitura de São José do Rio Preto,2025,Agente Administrativo,Dado/figura ausente no texto,Os tempos de duração de duas reuniões foram anotados. A razão entre a duração da mais curt,56e80983-d85e-49a5-99fb-0da82f5e6d64
